,CLASS_0,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6
0,0.21265895359734424,0.2114000018805384,0.3523956163471881,0.05305999461946433,0.0530062836132895,0.05467930293447548,0.06279984700770014
1,0.07541051169046706,0.10173398887733416,0.055335155907291766,0.048793482773386895,0.45880421140369754,0.05365672308591068,0.20626592626191192
2,0.023179921598421464,0.019953772296883145,0.021572574465891975,0.8605258003428079,0.02152242177418677,0.015591511323286542,0.0376539981985222
3,0.03626888373700486,0.045578965371473844,0.7787054536101338,0.023191370998660973,0.03447972411330302,0.027931703742555422,0.05384389842686806
4,0.02172104872729459,0.023684526894643787,0.021947115007419464,0.8673870313725704,0.017579127681609245,0.017043276242058817,0.030637874074403448
5,0.053681289592499376,0.05160663925550673,0.046579214845355224,0.04508906537724966,0.07986875817050626,0.049371845298134334,0.6738031874607485
6,0.7512283894067174,0.05805275211326756,0.04725615712520313,0.03454652825606862,0.0299368410758623,0.03041347276918586,0.04856585925369547
7,0.12403555630537785,0.022804197117289936,0.7832509598594569,0.016545808122910233,0.016833524547220324,0.01677614797337673,0.019753806074368174
8,0.1018406277269206,0.19626196321027,0.076888812416016,0.07157093152938254,0.11629680290849907,0.0409604818050349,0.39618038040387704
9,0.028799307818345717,0.019769169947811287,0.016404390199502867,0.8747400942139368,0.01661389680122693,0.01651176790245336,0.027161373116723047
10,0.04476723451601866,0.06568564033822585,0.03082296892393484,0.034925793188364904,0.6586199943175819,0.030101125457097012,0.1350772432587771
11,0.11549083183128643,0.021289908392293,0.7967935653043385,0.015861643306811887,0.01591669899211729,0.0160178837441501,0.018629468429002757
12,0.054852904751695575,0.03384359910179568,0.8064443636204394,0.02337319187618896,0.023760589752557893,0.023690638289424793,0.03403471260789761
13,0.023374516554365767,0.025035856766284944,0.020239164761813904,0.020377977753548427,0.8544219046653371,0.019403635400890858,0.03714694409775906
14,0.18774730581698337,0.20277349281892362,0.11651122327570343,0.09259150527326838,0.09262097310169387,0.10034928248681677,0.20740621722661073
15,0.027137049204209632,0.02024882838620863,0.01696177588690352,0.8707630623598864,0.020432979390436118,0.016929648173433638,0.02752665659892211
16,0.44091492413441186,0.10117360663878124,0.14157239257641113,0.057871893109106384,0.05908667831964223,0.06289916364417408,0.13648134157747327
17,0.021240108728987052,0.021598494379841803,0.0161152392808227,0.8811492172547697,0.01887321340984734,0.016080570121477247,0.024943156824254506
18,0.234440245818312,0.39060757282950637,0.07199728563459834,0.0714437530222788,0.06219002241854741,0.06507864424347899,0.10424247603327824
19,0.0504870647392909,0.021418110187773006,0.022627142055395552,0.015917223342675837,0.01876690388005769,0.8503269308219916,0.020456624972815453
20,0.030874160068231817,0.029139472239495933,0.02809240525785432,0.026169096114056906,0.7371446470553331,0.02847438062445287,0.12010583864057507
21,0.05272803780752522,0.05967221538157991,0.036470470171166225,0.039990628260061695,0.6308995351366524,0.034472312208623505,0.1457668010343912
22,0.0778064925060109,0.051192219498549234,0.27555293139951964,0.050785164587177425,0.06899491950648262,0.04652519497636191,0.4291430775258981
23,0.0496607639901845,0.038707834388926374,0.03721762442497847,0.024801964908090376,0.031108077999618376,0.024729886849084715,0.7937738474391169
24,0.02357601049281984,0.02242476045945194,0.020893870579075147,0.02024140754680141,0.8212984818678142,0.020231785871403788,0.0713336831826337
25,0.22912678104989342,0.6603836523949895,0.028352861607825627,0.019495786281894228,0.019632998380204058,0.019786229550536587,0.023221690734656568
26,0.11880202734078814,0.08664131267073613,0.08703589407935809,0.057045330410710235,0.060809946487137986,0.057112017802808786,0.5325534712084605
27,0.14420715232812079,0.07105067883344164,0.07693174769698864,0.0580825453437669,0.13153026206441626,0.05821241649618774,0.459985197237078
28,0.021562689284455084,0.018754953010972273,0.01994113895143709,0.015521497650713131,0.019417226716707536,0.8837584148608283,0.02104407952488654
29,0.026066452389029788,0.02146614870053079,0.016024749965880686,0.8763932256117047,0.016825128867359346,0.016506813964565617,0.026717480500928904
30,0.12981810024383497,0.6948068097502116,0.036125266885063144,0.03176346834197434,0.03197421008712961,0.03169410226467087,0.0438180424271157
31,0.053203162593049205,0.07890686667798276,0.058656425527131024,0.051424372181168486,0.08234359441103768,0.043891985809223176,0.6315735928004078
32,0.07303980923521253,0.06661296483310916,0.05827215947856681,0.05761058760663994,0.16116511369638947,0.06247638788630737,0.5208229772637748
33,0.19073131371916635,0.06804766288551592,0.11757508340629358,0.0585826291162319,0.06196679344103045,0.06653508082813069,0.43656143660363084
34,0.05311905010198591,0.05875254090749953,0.04412322931818228,0.042739626868353156,0.07680293231498649,0.04297517403507986,0.6814874464539128
35,0.021001576784228437,0.02079293094463558,0.016762855005885063,0.8742998625692823,0.021653395463521564,0.016132089518471792,0.029357289713975308
36,0.5439010005665009,0.05847472777818668,0.059263993875922356,0.05005066851406998,0.05048121781392176,0.050071218097116066,0.18775717335428227
37,0.41787909001013757,0.2795806423647399,0.08094571628004313,0.05185746222757334,0.05229208674814873,0.05249599832069078,0.06494900404866674
38,0.020342552104304273,0.020868248489355173,0.01784165165486877,0.015529283101660752,0.017144464297100936,0.8883715363508473,0.01990226400186287
39,0.02316370381782106,0.022246078731592008,0.02152287762645107,0.015732877379184933,0.019681450221485423,0.8749574781886706,0.02269553403479476
40,0.022503581264509857,0.025001741309204066,0.01833661005836666,0.8177214366721365,0.03636811595986376,0.019071540156008766,0.060996974579910566
41,0.07908042365761173,0.7521422537294519,0.03853562107855289,0.02968334898538794,0.03659099829019975,0.028027324238614135,0.035940030020181465
42,0.02049287644773438,0.02551658872017585,0.017727117347438585,0.017859562433308142,0.8651093964703148,0.017066274597925018,0.03622818398310292
